Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,8.00,28.00,0.00,445.70,8.00,-2.80,2.33,
2000.00,8.00,28.00,300.00,425.30,8.40,-1.20,1.33,
2000.00,8.00,28.00,600.00,405.60,18.50,0.50,2.00,
2000.00,8.00,28.00,900.00,526.20,8.50,-3.80,3.33,
2000.00,8.00,28.00,1200.00,519.00,8.50,-3.90,4.00,
2000.00,8.00,28.00,1800.00,565.70,5.90,1.10,5.33,
2000.00,8.00,28.00,2100.00,590.20,6.30,-8.20,5.00,
2000.00,8.00,29.00,0.00,572.00,4.70,-3.60,5.67,
2000.00,8.00,29.00,300.00,576.30,7.50,-8.40,4.67,
2000.00,8.00,29.00,600.00,603.80,3.40,-0.40,5.00,
2000.00,8.00,29.00,900.00,595.50,3.80,-2.60,4.00,
2000.00,8.00,29.00,1200.00,597.60,3.10,-0.70,3.00,
2000.00,8.00,29.00,1500.00,606.70,2.20,-2.70,4.33,
2000.00,8.00,29.00,1800.00,612.00,2.60,-2.40,4.67,
2000.00,8.00,30.00,0.00,607.80,1.90,-2.40,3.67,
2000.00,8.00,30.00,300.00,591.80,1.80,0.70,3.00,
2000.00,8.00,30.00,600.00,564.60,1.50,-0.10,2.00,
2000.00,8.00,30.00,900.00,588.70,1.70,-1.70,2.67,
2000.00,8.00,30.00,1200.00,566.20,2.40,-2.10,2.33,
2000.00,8.00,30.00,1500.00,586.40,2.10,1.00,2.33,
2000.00,8.00,30.00,1800.00,583.70,2.80,0.30,2.00,
2000.00,8.00,30.00,2100.00,561.40,2.20,1.50,3.33,
2000.00,8.00,31.00,0.00,577.10,2.60,-0.60,3.33,
2000.00,8.00,31.00,300.00,552.00,2.10,2.40,2.67,
2000.00,8.00,31.00,600.00,559.00,2.00,-2.00,2.33,
2000.00,8.00,31.00,900.00,569.60,2.20,-1.60,3.33,
2000.00,8.00,31.00,1200.00,556.50,2.90,-2.40,3.00,
2000.00,8.00,31.00,1500.00,560.60,2.20,-2.10,2.67,
2000.00,8.00,31.00,1800.00,508.80,1.90,-2.20,2.00,
2000.00,8.00,31.00,2100.00,521.90,1.50,-1.10,3.33,
2000.00,9.00,1.00,0.00,522.70,1.60,-2.50,3.33,
2000.00,9.00,1.00,300.00,510.70,1.50,-1.70,2.67,
2000.00,9.00,1.00,600.00,525.90,1.80,-4.10,3.67,
2000.00,9.00,1.00,900.00,509.40,1.60,-2.30,3.33,
2000.00,9.00,1.00,1200.00,494.60,1.70,-2.20,2.67,
2000.00,9.00,1.00,1500.00,491.60,1.40,1.80,2.67,
2000.00,9.00,1.00,1800.00,493.70,1.60,-1.30,3.67,
2000.00,9.00,1.00,2100.00,468.60,1.90,-2.40,2.67,
2000.00,9.00,2.00,0.00,512.40,4.10,-3.80,4.00,
2000.00,9.00,2.00,300.00,500.20,4.50,0.70,3.67,
2000.00,9.00,2.00,600.00,510.00,4.50,2.50,4.33,
2000.00,9.00,2.00,900.00,498.90,5.30,-1.00,4.33,
2000.00,9.00,2.00,1200.00,450.90,3.90,-4.50,4.00,
2000.00,9.00,2.00,1500.00,459.40,3.10,-6.70,4.00,
2000.00,9.00,2.00,1800.00,435.80,1.60,-1.60,2.33,
2000.00,9.00,2.00,2100.00,435.10,5.30,-0.40,2.33,
